140282,2007-01-01,01:08:32,SAFETY-122206,"","",RADIO,PK,0,"", ,0,"","",OPEN INCIDENT,""
140334,2007-01-02,11:40:00,278-010207,CHP-CAD,"",CAD,KK,0,"", ,0,"",FIRST CALL,OPEN INCIDENT,1179 - NB 405 AT VALLEY VIEW - 2 VEHS BLKD HOV LN
140335,2007-01-02,11:41:00,278-010207,CHP-CAD,"",CAD,KK,0,"", ,0,"","","",PARTIES OUT OF VEHS
140336,2007-01-02,11:48:00,278-010207,CHP-CAD,"",CAD,KK,0,"", ,0,"","","",PER DUPE CALLED - RED SUV IS ON IT'S SIDE
140337,2007-01-02,11:49:00,278-010207,CHP-CAD,"",CAD,KK,0,"", ,0,"","","",PER DUPE CALLED - 1 VEH O/TURNED JNO SPRINGDALE
140338,2007-01-02,11:51:00,278-010207,"","",--------,KK,71,"",N,405,At Magnolia,CMS ON,"","""ACCIDENT AT VALLEY VIEW CARPOOL BLKD"""
140339,2007-01-02,11:51:00,278-010207,"","",--------,KK,72,"",S,55,N/O Warner,CMS ON,"","""ACCIDENT N-405 AT VALLEY VIEW"""
140340,2007-01-02,11:51:00,278-010207,"","",--------,KK,87,"",N,405,S/O Harvard,CMS FAIL,"",FAILED
140341,2007-01-02,11:51:00,278-010207,CHP-CAD,"",CAD,KK,0,"", ,0,"","","","1 VEH O/TURNED PER 44, IN HOV LN"
140342,2007-01-02,11:52:00,278-010207,CHP-MIO,"",VOICE,KK,0,"", ,0,"","",SIGALERT BEGIN,SIGALERT ISSUED FOR 30 MINS - HOV LN BLKD
140343,2007-01-02,11:54:00,278-010207,"",Mgmt,PAGER,KK,0,"", ,0,"","","",PAGED MGMT WITH SIGALERT INFO
140344,2007-01-02,11:54:00,278-010207,"",Dist 3-HQ,FAX,KK,0,"", ,0,"","","",FAXED HQ WITH SIGALERT INFO
140346,2007-01-02,11:55:00,278-010207,"",Mgmt,PAGER,TD,0,"", ,0,"","","",PAGED MANAGEMENT ABOUT SIGALERT
140345,2007-01-02,11:56:00,278-010207,CHP-CAD,"",CAD,KK,0,"", ,0,"","","","HOV, #1 LN BLKD"
140349,2007-01-02,12:24:00,278-010207,CHP-CAD,"",CAD,KH,0,"", ,0,"",INFO,SIGALERT UPDATE,SIGALERT EXTENDED FOR 30 MINS
140350,2007-01-02,12:24:00,278-010207,"",Mgmt,PAGER,KH,0,"", ,0,"","",SIGALERT UPDATE,PAGED MGMT WITH SIGALERT #1
140351,2007-01-02,12:24:00,278-010207,"",Dist 3-HQ,FAX,KH,0,"", ,0,"","",SIGALERT UPDATE,FAXED HQ  WITH SIGALERT #1
140352,2007-01-02,12:28:00,278-010207,CCTV,"",CCTV,KH,0,"", ,0,"",INFO,"",PER CCTV TOW TRUCK AT INCIDENT SCENE
140353,2007-01-02,12:46:06,278-010207,CCTV,"",CCTV,KH,0,"", ,0,"","","",PER CCTV TOW TRUCK REMOVED THE VEH FROM THE HOV LN
140354,2007-01-02,12:46:06,278-010207,CCTV,"",CCTV,KH,0,"", ,0,"",LANES CLEAR,SIGALERT END,ALL LANES NOW CLEAR
140355,2007-01-02,12:46:06,278-010207,"",Mgmt,PAGER,KH,0,"", ,0,"","","",PAGED MGMT WITH SIGALERT CANCELLATION
140356,2007-01-02,12:46:06,278-010207,"",Dist 3-HQ,FAX,KH,0,"", ,0,"","","",FAXED HQ  WITH SIGALERT CANCELLATION
140357,2007-01-02,12:46:06,278-010207,"","","",KH,71,"",N,405,At Magnolia,CMS OFF,"",""
140358,2007-01-02,12:46:06,278-010207,"","","",KH,72,"",S,55,N/O Warner,CMS OFF,"",""
140359,2007-01-02,12:49:49,278-010207,"","",--------,KH,0,"", ,0,"","",CLOSE INCIDENT,""
140347,2007-01-02,11:00:00,D8-010207,"","",RADIO,PK,40,"",N,55,Meats (N/O Katella),CMS ON,"",N-15 TO BE CLOSED THIS WEEKEND DETOUR N-215
140333,2007-01-02,11:14:25,D8-010207,"","",RADIO,PK,0,"", ,0,"","",OPEN INCIDENT,""
